Folder	Notebook	From	To	Time qualifier	Place	Region	Country	Author	Img	Pag.	Title chapter	Title Recipe	Num. persons	Course	Procedure	Temperature	Recipe time	Cooking time	Ingredient qualifier	Ingredient	Ingredient variant name	Alternative ingredient qualifier	Alternative ingredient	Alternative ingredient variant name	Dosage	Unit of measure	Side dishes	Where it was found	Date of finding	Who  donated it	Who found it	Notes
name	title	year	year		town			surname name	nome	numero			number	type	techniques	Degree Celsius	num. minutes	num. minutes	e.g. green (tomatoe)	normalised name	of the ingredient	e.g. green (tomatoe)	if applicable	of the alternative	number			town	DD-MM-YYYY	surname name	surname name	
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_1.jpg	1		Olive verdi grosse		appetiser	boiling				green	olive					1	kg		Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_1.jpg	1		Olive verdi grosse		appetiser						sodium hydroxide					20	g		Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_1.jpg	1		Olive verdi grosse		appetiser						water					1	l		Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_1.jpg	1		Olive verdi grosse		appetiser						salt					75	g		Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_2.jpg	2	Minestre	Maccheroni con besciamella		first	boiling					macaroni								Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_2.jpg	2	Minestre	Maccheroni con besciamella		first						butter								Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_2.jpg	2	Minestre	Maccheroni con besciamella		first						flour								Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_2.jpg	2	Minestre	Maccheroni con besciamella		first						milk								Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_2.jpg	2	Minestre	Maccheroni con besciamella		first						parmesan								Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_2.jpg	2	Minestre	Maccheroni con besciamella		first						salt								Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_2.jpg; Quaderno 1_Rimini_29ago2019_3.jpg	2; 3	Minestre	Polenta alla lombarda		first	stewing			180	savoy	cabbage								Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_2.jpg; Quaderno 1_Rimini_29ago2019_3.jpg	2; 3	Minestre	Polenta alla lombarda		first	boiling					celery								Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_2.jpg; Quaderno 1_Rimini_29ago2019_3.jpg	2; 3	Minestre	Polenta alla lombarda		first						carrot								Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_2.jpg; Quaderno 1_Rimini_29ago2019_3.jpg	2; 3	Minestre	Polenta alla lombarda		first						onion								Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_2.jpg; Quaderno 1_Rimini_29ago2019_3.jpg	2; 3	Minestre	Polenta alla lombarda		first						garlic					1	unit		Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_2.jpg; Quaderno 1_Rimini_29ago2019_3.jpg	2; 3	Minestre	Polenta alla lombarda		first						pepper								Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_2.jpg; Quaderno 1_Rimini_29ago2019_3.jpg	2; 3	Minestre	Polenta alla lombarda		first					rib	pork			sausage					Rimini	29-08-2019			
Quaderno 1_29ago2019_Ricette di Zia Dina	Le ricette di zia Dina	1960	1970	ca.	Rimini	Emilia Romagna	Italy	Dina	Quaderno 1_Rimini_29ago2019_2.jpg; Quaderno 1_Rimini_29ago2019_3.jpg	2; 3	Minestre	Polenta alla lombarda		first						tomato								Rimini	29-08-2019			
